fecha;afp;tipo_de_fondo;tipo_de_instrumento;nemotecnico_del_instrumento;nombre_del_emisor;nacionalidad_del_emisor;unidad_de_reajuste_de_moneda;unidades;precio;inversion;grupo_economico;moneda_contrato_forward;moneda_objeto_forward;precio_ejercicio_forward;plazo_economico;tasa_pactada_del_fondo_swap;tasa_pactada_de_la_contraparte_swap
20170131;hab;A;BTP;BTP0450221;TESORERIA GENERAL DE LA REPUBLICA; ;NO;10000000000;1.04817;10481700000;;;;;1355;;
20170131;hab;A;BTP;BTP0450326;TESORERIA GENERAL DE LA REPUBLICA; ;NO;1000000000;1.04489;1044890000;;;;;2717;;
20170131;hab;A;BTP;BTP0450321;TESORERIA GENERAL DE LA REPUBLICA; ;NO;1000000000;1.04753;1047530000;;;;;1355;;
20170131;prv;A;BTU;BTU0300140;TESORERIA GENERAL DE LA REPUBLICA; ;UF;13500;32721.16731;441735758.69;;;;;6365;;
20170131;prv;A;BTP;BTP0600132;TESORERIA GENERAL DE LA REPUBLICA; ;NO;200000000;1.18581;237162000;;;;;3814;;
20170131;prv;A;BTU;BTU0300144;TESORERIA GENERAL DE LA REPUBLICA; ;UF;55500;33014.61535;1832311151.93;;;;;7161;;
20170131;prv;A;BTP;BTP0600134;TESORERIA GENERAL DE LA REPUBLICA; ;NO;700000000;1.19518;836626000;;;;;4147;;
20170131;cup;A;BTP;BTP0600118;TESORERIA GENERAL DE LA REPUBLICA; ;NO;90000000;1.02936;92642400;;;;;330;;
20170131;cup;A;BTU;BTU0300717;TESORERIA GENERAL DE LA REPUBLICA; ;UF;500;26593.76166;13296880.83;;;;;151;;
20170131;cup;A;BTU;BTU0300144;TESORERIA GENERAL DE LA REPUBLICA; ;UF;47000;33014.61535;1551686921.45;;;;;7161;;
20170131;cup;A;BTU;BTU0300119;TESORERIA GENERAL DE LA REPUBLICA; ;UF;5000;27519.3731;137596865.5;;;;;684;;
20170131;cup;A;BTP;BTP0600143;TESORERIA GENERAL DE LA REPUBLICA; ;NO;705000000;1.21314;855263700;;;;;5300;;
20170131;cup;A;BTU;BTU0150326;TESORERIA GENERAL DE LA REPUBLICA; ;UF;1500;26986.42935;40479644.03;;;;;3096;;
20170131;cup;A;BTP;BTP0600318;TESORERIA GENERAL DE LA REPUBLICA; ;NO;20000000;1.05378;21075600;;;;;379;;
20170131;cup;A;BTU;BTU0200335;TESORERIA GENERAL DE LA REPUBLICA; ;UF;70500;28082.31962;1979803533.21;;;;;5565;;
20170131;cup;A;BTP;BTP0500335;TESORERIA GENERAL DE LA REPUBLICA; ;NO;250000000;1.08978;272445000;;;;;4415;;
20170131;cup;A;BTP;BTP0600317;TESORERIA GENERAL DE LA REPUBLICA; ;NO;10000000;1.02739;10273900;;;;;29;;
20170131;pli;A;BTU;BTU0300338;TESORERIA GENERAL DE LA REPUBLICA; ;UF;10000;32721.43049;327214304.9;;;;;5923;;
20170131;pli;A;BTU;BTU0300134;TESORERIA GENERAL DE LA REPUBLICA; ;UF;10000;31848.45547;318484554.7;;;;;5017;;
20170131;pli;A;BTP;BTP0600120;TESORERIA GENERAL DE LA REPUBLICA; ;NO;100000000;1.07336;107336000;;;;;991;;
20170131;pli;A;BTP;BTP0600143;TESORERIA GENERAL DE LA REPUBLICA; ;NO;200000000;1.21314;242628000;;;;;5300;;
20170131;pli;A;BTU;BTU0300130;TESORERIA GENERAL DE LA REPUBLICA; ;UF;1000;31187.60521;31187605.21;;;;;4012;;
20170131;pli;A;BTP;BTP0450221;TESORERIA GENERAL DE LA REPUBLICA; ;NO;360000000;1.04817;377341200;;;;;1355;;
20170131;pli;A;BTU;BTU0450824;TESORERIA GENERAL DE LA REPUBLICA; ;UF;2000;33223.31876;66446637.52;;;;;2359;;
20170131;pli;A;BTU;BTU0300339;TESORERIA GENERAL DE LA REPUBLICA; ;UF;9500;32877.76066;312338726.27;;;;;6138;;
20170131;cap;A;BTU;BTU0150326;TESORERIA GENERAL DE LA REPUBLICA; ;UF;80000;26986.42935;2158914348;;;;;3096;;
20170131;cap;A;BTU;BTU0200335;TESORERIA GENERAL DE LA REPUBLICA; ;UF;13000;28082.31962;365070155.06;;;;;5565;;
20170131;cap;A;BTU;BTU0300338;TESORERIA GENERAL DE LA REPUBLICA; ;UF;13000;32721.43049;425378596.37;;;;;5923;;
20170131;cap;A;BTU;BTU0300327;TESORERIA GENERAL DE LA REPUBLICA; ;UF;4000;30859.68032;123438721.28;;;;;3211;;
20170131;cap;A;BTU;BTU0300140;TESORERIA GENERAL DE LA REPUBLICA; ;UF;11500;32721.16731;376293424.07;;;;;6365;;
20170131;cap;A;BTP;BTP0500335;TESORERIA GENERAL DE LA REPUBLICA; ;NO;1700000000;1.08978;1852626000;;;;;4415;;
20170131;cap;A;BTU;BTU0300142;TESORERIA GENERAL DE LA REPUBLICA; ;UF;10500;32833.28289;344749470.35;;;;;6771;;
20170131;cap;A;BTP;BTP0600132;TESORERIA GENERAL DE LA REPUBLICA; ;NO;75000000;1.18581;88935750;;;;;3814;;
20170131;cap;A;BTU;BTU0300144;TESORERIA GENERAL DE LA REPUBLICA; ;UF;197000;33014.61535;6503879223.95;;;;;7161;;
20170131;cap;A;BTU;BTU0260925;TESORERIA GENERAL DE LA REPUBLICA; ;UF;21000;29538.50618;620308629.78;;;;;2822;;
20170131;cap;A;BTP;BTP0450326;TESORERIA GENERAL DE LA REPUBLICA; ;NO;1500000000;1.04489;1567335000;;;;;2717;;
20170131;cap;A;BTU;BTU0300130;TESORERIA GENERAL DE LA REPUBLICA; ;UF;20000;31187.60521;623752104.2;;;;;4012;;
20170131;mod;A;BTP;BTP0450326;TESORERIA GENERAL DE LA REPUBLICA; ;NO;1040000000;1.04489;1086685600;;;;;2717;;
20170131;mod;A;BTU;BTU0150326;TESORERIA GENERAL DE LA REPUBLICA; ;UF;85000;26986.42935;2293846494.75;;;;;3096;;
20170131;mod;A;BTU;BTU0150321;TESORERIA GENERAL DE LA REPUBLICA; ;UF;60000;27115.1254;1626907524;;;;;1443;;
20170131;mod;A;BTU;BTU0300144;TESORERIA GENERAL DE LA REPUBLICA; ;UF;10000;33014.61535;330146153.5;;;;;7161;;
20170131;mod;A;BTU;BTU0300132;TESORERIA GENERAL DE LA REPUBLICA; ;UF;2000;31583.69427;63167388.54;;;;;4527;;
20170131;hab;A;DEB;BFFCC-R;EMPRESA DE LOS FERROCARRILES DEL ESTADO; ;UF;60000;38227.98957;2293679374.2;21;;;;4748;;
