"";"ML1";"ML2"
"recursos_familia";0,352431282882445;0,646000361448431
"educ_padres";0,301382192003895;0,733162223028626
"educ_propia";0,00969249943616863;0,451795292949584
"ambicion";-0,0418653162230789;0,38390859100631
"trabajo_duro";-0,0933281144251229;0,141360716803706
"contactos_personales";0,442504638843627;0,267124391163386
"contactos_politicos";0,594351990479158;0,142718737517431
"coimas";0,790563958083234;0,0109548072717421
"raza_etnia";0,767327886646101;-0,0976566923579198
"religion";0,736564260251072;-0,0260962823601404
