"";"n";"Mean";"Std.Dev";"Median";"Min";"Max";"25th";"75th";"Skew";"Kurtosis"
"recursos_familia";454;2,51762114537445;1,15217332868416;2;1;5;2;3;0,319999739570703;-0,830695009147767
"educ_padres";454;2,88325991189427;1,15547719119016;3;1;5;2;4;-0,13201216856594;-0,965752757807548
"educ_propia";454;3,72907488986784;0,936948467881356;4;1;5;3;4;-0,725046788614577;0,452627764454517
"ambicion";454;3,41189427312775;1,06517808409113;4;1;5;3;4;-0,557400454579155;-0,298940093655776
"trabajo_duro";454;3,64977973568282;0,934162724329461;4;1;5;3;4;-0,53540674196476;0,0764839188499251
"contactos_personales";454;2,37004405286344;1,10570724833763;2;1;5;2;3;0,466277716702946;-0,711652725343522
"contactos_politicos";454;1,69383259911894;0,935494263568167;1;1;5;1;2;1,39945958158958;1,54705225612694
"coimas";454;1,91409691629956;1,08129774427701;2;1;5;1;3;0,954370830393613;-0,116265715886109
"raza_etnia";454;1,68061674008811;0,923915063650639;1;1;5;1;2;1,35815639317661;1,23461282468695
"religion";454;1,784140969163;1,03881174155304;1;1;5;1;2;1,21651262387191;0,576611252609764
